Time,pixels_from_encoder,pixels_from_cv2
16.2322351,[[[585 533]]],"(712, 525)"
16.2750688,[[[568 532]]],"(711, 524)"
16.3160341,[[[551 530]]],"(712, 524)"
16.3599766,[[[533 528]]],"(711, 536)"
16.3986736,[[[523 526]]],"(707, 536)"
16.445444,[[[516 524]]],"(701, 536)"
16.4936346,[[[515 524]]],"(695, 536)"
16.5364173,[[[521 525]]],"(672, 538)"
16.5794196,[[[526 526]]],"(668, 538)"
16.6217926,[[[531 526]]],"(668, 538)"
16.6657769,[[[532 526]]],"(669, 539)"
16.7319386,[[[525 525]]],"(670, 539)"
16.7718319,[[[510 523]]],"(671, 539)"
16.8117466,[[[493 520]]],"(672, 538)"
16.8488434,[[[480 516]]],"(674, 538)"
16.8924653,[[[469 514]]],"(675, 539)"
16.9291246,[[[460 511]]],"(674, 539)"
16.972084,[[[454 509]]],"(657, 540)"
17.0123445,[[[447 506]]],"(651, 540)"
17.0518564,[[[442 504]]],"(647, 539)"
17.096285,[[[437 501]]],"(643, 539)"
17.134873,[[[433 499]]],"(640, 538)"
17.1780175,[[[429 497]]],"(637, 538)"
17.2211319,[[[426 494]]],"(635, 537)"
17.2615414,[[[419 490]]],"(632, 536)"
17.3008746,[[[414 486]]],"(630, 536)"
17.3462134,[[[405 479]]],"(628, 536)"
17.3849828,[[[398 473]]],"(625, 535)"
17.4281799,[[[392 468]]],"(623, 534)"
17.471942,[[[385 463]]],"(622, 532)"
17.5115946,[[[381 461]]],"(608, 529)"
17.5555821,[[[375 457]]],"(604, 527)"
17.6013431,[[[364 449]]],"(601, 524)"
17.6446442,[[[351 435]]],"(598, 523)"
17.6860839,[[[339 422]]],"(595, 521)"
17.7306762,[[[333 415]]],"(594, 521)"
17.7797259,[[[334 418]]],"(592, 520)"
17.8223842,[[[337 423]]],"(587, 517)"
17.8613266,[[[344 431]]],"(582, 513)"
17.9026751,[[[350 439]]],"(575, 506)"
17.9466559,[[[359 449]]],"(563, 500)"
17.995142,[[[373 461]]],"(565, 502)"
18.031805,[[[385 471]]],"(569, 505)"
18.0760944,[[[395 477]]],"(574, 510)"
18.1224683,[[[401 482]]],"(578, 514)"
18.1613826,[[[414 490]]],"(583, 518)"
18.2047302,[[[434 499]]],"(590, 522)"
18.2475179,[[[459 510]]],"(595, 526)"
18.2944394,[[[480 516]]],"(601, 529)"
18.3378456,[[[490 519]]],"(606, 531)"
18.3847434,[[[494 520]]],"(632, 534)"
18.4274412,[[[495 520]]],"(642, 537)"
18.4729276,[[[499 521]]],"(650, 538)"
18.5206714,[[[507 522]]],"(654, 539)"
18.5603693,[[[518 523]]],"(656, 539)"
18.6042826,[[[531 524]]],"(657, 539)"
18.6528861,[[[545 525]]],"(658, 539)"
18.6960641,[[[559 524]]],"(659, 539)"
18.7367206,[[[568 523]]],"(660, 539)"
18.7792014,[[[579 522]]],"(676, 538)"
18.8251055,[[[588 521]]],"(682, 537)"
18.8656988,[[[593 520]]],"(687, 535)"
