Time,pixels_from_encoder,pixels_from_cv2
19.4113814,[[[810 517]]],"(658, 537)"
19.4581307,[[[824 513]]],"(660, 539)"
19.5005174,[[[841 508]]],"(662, 539)"
19.5498386,[[[859 503]]],"(665, 540)"
19.5959901,[[[869 499]]],"(670, 540)"
19.6462624,[[[873 496]]],"(677, 539)"
19.6924703,[[[878 493]]],"(683, 539)"
19.7376658,[[[894 486]]],"(688, 539)"
19.778271,[[[910 480]]],"(691, 539)"
19.8214581,[[[918 476]]],"(692, 539)"
19.863947,[[[911 476]]],"(693, 539)"
19.9131718,[[[911 473]]],"(711, 538)"
19.9591861,[[[926 468]]],"(712, 538)"
20.0044525,[[[927 468]]],"(710, 538)"
20.0569544,[[[906 474]]],"(709, 538)"
20.0973603,[[[893 477]]],"(712, 538)"
20.1443436,[[[882 482]]],"(716, 538)"
20.18764,[[[862 490]]],"(717, 537)"
20.2279888,[[[831 499]]],"(713, 538)"
20.2750985,[[[802 506]]],"(707, 537)"
20.3172109,[[[786 510]]],"(687, 537)"
20.3613632,[[[765 515]]],"(675, 537)"
20.4051454,[[[741 518]]],"(664, 537)"
20.4462329,[[[721 520]]],"(655, 537)"
20.4908888,[[[705 523]]],"(648, 537)"
20.537208,[[[690 525]]],"(639, 537)"
20.5806845,[[[678 526]]],"(628, 535)"
20.6276628,[[[674 528]]],"(619, 533)"
20.6761467,[[[674 528]]],"(612, 533)"
20.7282887,[[[679 528]]],"(594, 532)"
20.7804426,[[[708 529]]],"(592, 532)"
20.8302952,[[[746 527]]],"(591, 532)"
20.8775708,[[[768 524]]],"(592, 532)"
20.9193349,[[[775 522]]],"(595, 533)"
20.9626637,[[[783 521]]],"(602, 536)"
21.009016,[[[799 518]]],"(644, 539)"
21.0524321,[[[816 515]]],"(647, 539)"
21.0953146,[[[838 510]]],"(651, 540)"
21.1403611,[[[859 504]]],"(657, 539)"
21.1923316,[[[874 498]]],"(664, 540)"
21.2465455,[[[877 496]]],"(669, 539)"
21.3081662,[[[860 502]]],"(678, 538)"
21.3703212,[[[833 511]]],"(697, 534)"
21.438516,[[[806 518]]],"(695, 535)"
21.5016648,[[[796 520]]],"(691, 536)"
21.5591549,[[[804 519]]],"(663, 540)"
21.6197142,[[[817 515]]],"(659, 540)"
21.672167,[[[827 513]]],"(657, 540)"
21.7209769,[[[828 513]]],"(659, 515)"
21.7782065,[[[819 515]]],"(662, 540)"
21.8297637,[[[806 518]]],"(674, 539)"
21.8828427,[[[793 521]]],"(674, 538)"
21.9292295,[[[778 524]]],"(671, 538)"
21.9815347,[[[767 526]]],"(667, 538)"
22.0303663,[[[758 528]]],"(662, 538)"
22.0852558,[[[746 530]]],"(647, 537)"
22.14472,[[[730 532]]],"(643, 538)"
22.197221,[[[714 534]]],"(639, 538)"
22.2501655,[[[699 535]]],"(635, 538)"
22.2965031,[[[686 536]]],"(631, 538)"
22.3458882,[[[677 536]]],"(612, 538)"
22.4086079,[[[669 537]]],"(607, 538)"
22.4679022,[[[663 537]]],"(603, 538)"
22.5188352,[[[660 537]]],"(599, 537)"
22.5750825,[[[655 537]]],"(596, 537)"
22.6266451,[[[655 537]]],"(590, 537)"
22.6882937,[[[660 537]]],"(588, 537)"
22.742034,[[[663 537]]],"(587, 536)"
